TIMESTAMP RX_BYTES RX_PACKETS RX_ERRORS RX_DROPPED TX_BYTES TX_PACKETS TX_ERRORS TX_DROPPED
2025-10-14 15:11:04 RX: bytes packets errors 908172269 3818213 0 0
2025-10-14 15:11:14 RX: bytes packets errors 909916051 3824647 0 0
2025-10-14 15:11:24 RX: bytes packets errors 911563019 3831289 0 0
2025-10-14 15:11:34 RX: bytes packets errors 914203432 3839052 0 0
2025-10-14 15:11:44 RX: bytes packets errors 915851479 3845023 0 0
2025-10-14 15:11:54 RX: bytes packets errors 917547094 3851718 0 0
2025-10-14 15:12:04 RX: bytes packets errors 920114958 3858967 0 0
2025-10-14 15:12:14 RX: bytes packets errors 921996795 3866188 0 0
2025-10-14 15:12:24 RX: bytes packets errors 923766671 3873477 0 0
2025-10-14 15:12:34 RX: bytes packets errors 926569877 3881706 0 0
2025-10-14 15:12:44 RX: bytes packets errors 928305192 3888135 0 0
2025-10-14 15:12:54 RX: bytes packets errors 930062552 3895478 0 0
2025-10-14 15:13:04 RX: bytes packets errors 932655509 3902714 0 0
2025-10-14 15:13:14 RX: bytes packets errors 934325671 3908954 0 0
2025-10-14 15:13:24 RX: bytes packets errors 936069295 3915794 0 0
2025-10-14 15:13:34 RX: bytes packets errors 938966407 3924469 0 0
2025-10-14 15:13:44 RX: bytes packets errors 940786588 3931300 0 0
2025-10-14 15:13:54 RX: bytes packets errors 942555028 3938116 0 0
2025-10-14 15:14:04 RX: bytes packets errors 944271623 3945194 0 0
2025-10-14 15:14:14 RX: bytes packets errors 946952412 3952182 0 0
2025-10-14 15:14:24 RX: bytes packets errors 948701434 3959438 0 0
2025-10-14 15:14:34 RX: bytes packets errors 951576672 3967805 0 0
2025-10-14 15:14:44 RX: bytes packets errors 953455834 3975013 0 0
2025-10-14 15:14:54 RX: bytes packets errors 955218033 3982356 0 0
2025-10-14 15:15:04 RX: bytes packets errors 957925075 3989686 0 0
2025-10-14 15:15:14 RX: bytes packets errors 959726401 3996454 0 0
2025-10-14 15:15:24 RX: bytes packets errors 961591220 4004152 0 0
2025-10-14 15:15:34 RX: bytes packets errors 964812723 4014253 0 0
2025-10-14 15:15:44 RX: bytes packets errors 966814852 4022270 0 0
2025-10-14 15:15:54 RX: bytes packets errors 969009794 4031183 0 0
2025-10-14 15:16:04 RX: bytes packets errors 971924504 4039615 0 0
2025-10-14 15:16:14 RX: bytes packets errors 973782576 4047243 0 0
2025-10-14 15:16:24 RX: bytes packets errors 975740103 4055124 0 0
2025-10-14 15:16:34 RX: bytes packets errors 978486291 4063148 0 0
2025-10-14 15:16:44 RX: bytes packets errors 980180491 4069493 0 0
2025-10-14 15:16:54 RX: bytes packets errors 981934759 4076530 0 0
2025-10-14 15:17:04 RX: bytes packets errors 983673863 4083205 0 0
2025-10-14 15:17:14 RX: bytes packets errors 986327080 4089735 0 0
2025-10-14 15:17:24 RX: bytes packets errors 988103461 4096544 0 0
2025-10-14 15:17:34 RX: bytes packets errors 990700384 4104028 0 0
2025-10-14 15:17:44 RX: bytes packets errors 992312772 4109855 0 0
2025-10-14 15:17:54 RX: bytes packets errors 994037773 4116425 0 0
2025-10-14 15:18:05 RX: bytes packets errors 996541750 4123303 0 0
